Id,GEO,File Identification,State/US-Abbreviation (USPS),Summary Level,Geographic Component,Characteristic Iteration,Characteristic Iteration File Sequence Number,Logical Record Number,Region,Division,State (FIPS),County,FIPS County Class Code,County Size Code,County Subdivision (FIPS),FIPS County Subdivision Class Code,County Subdivision Size Code,Place (FIPS),FIPS Place Class Code,Place Size Code,Census Tract,Block Group,Block,Internal Use Code,Consolidated City (FIPS),FIPS Consolidated City Class Code,Consolidated City Size Code,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),FIPS American Indian Area/Alaska Native Area/Hawaiian Home Land Class Code,American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),FIPS American Indian Tribal Subdivision Class Code,Tribal Census Tract,Tribal Block Group,Alaska Native Regional Corporation (FIPS),FIPS Alaska Native Regional Corporation Class Code,Metropolitan Statistical Area/Micropolitan Statistical Area,Metropolitan Statistical Area/Micropolitan Statistical Area Size Code,Metropolitan Division,Combined Statistical Area,New England City and Town Area,New England City and Town Area Size Code,New England City and Town Area Division,Combined New England City and Town Area,Metropolitan Statistical Area/Micropolitan Statistical Area Principal City Indicator,New England City and Town Area Principal City Indicator,Urban Area,Urban Area Size Code,Urban Area Type,Urban/Rural,Congressional District (111th),State Legislative District (Upper Chamber) (Year 1),State Legislative District (Lower Chamber) (Year 1),Voting District,Voting District Indicator,Reserved,ZIP Code Tabulation Area (5 digit),Subminor Civil Division (FIPS),FIPS Subminor Civil Division Class Code,School District (Elementary),School District (Secondary),School District (Unified),Area (Land),Area (Water),Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Functional Status Code,Geographic Change User Note Indicator,Population Count (100%),Housing Unit Count (100%),Internal Point (Latitude),Internal Point (Longitude),Legal/Statistical Area Description Code,Part Flag,Reserved,Urban Growth Area,State (ANSI),County (ANSI),County Subdivision (ANSI),Place (ANSI),Consolidated City (ANSI),American Indian Area/Alaska Native Area/Hawaiian Home Land (ANSI),American Indian Tribal Subdivision (ANSI),Alaska Native Regional Corporation (ANSI),Subminor Civil Division (ANSI),Congressional District (113th),Congressional District (114th),Congressional District (115th),State Legislative District (Upper Chamber) (Year 2),State Legislative District (Upper Chamber) (Year 3),State Legislative District (Upper Chamber) (Year 4),State Legislative District (Lower Chamber) (Year 2),State Legislative District (Lower Chamber) (Year 3),State Legislative District (Lower Chamber) (Year 4),American Indian Area/Alaska Native Area/Hawaiian Home Land Size Code,Combined Statistical Area Size Code,Combined NECTA Size Code,Metropolitan Micropolitan Indicator,NECTA Metropolitan Micropolitan Indicator,Public Use Microdata Area,Reserved
1600000US4502080,"Arcadia CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0241910,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$02080,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       5076943,$         12444,$Arcadia CDP,$S,$!,$     2634,$     1155,$+34.9610754,$-081.9931175,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02629818,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4507345,"Boiling Springs CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242035,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$07345,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$      17706941,$             0,$Boiling Springs CDP,$S,$!,$     8219,$     3378,$+35.0450103,$-081.9779295,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02402700,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4511125,"Campobello town, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242128,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$11125,$C1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       7232145,$             0,$Campobello town,$A,$!,$      502,$      225,$+35.1262894,$-082.1491755,$43,$ ,$      ,$     ,$01779799,$        ,$        ,$02405372,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4513060,"Central Pacolet town, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242174,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$13060,$C1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$        647474,$             0,$Central Pacolet town,$A,$!,$      216,$      105,$+34.9095840,$-081.7526034,$43,$ ,$      ,$     ,$01779799,$        ,$        ,$02406248,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4514050,"Chesnee city, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242214,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$14050,$C1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       2944299,$             0,$Chesnee city,$A,$!,$      868,$      471,$+35.1457766,$-081.8626545,$25,$ ,$      ,$     ,$01779799,$        ,$        ,$02404042,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4515220,"Clifton CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242261,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$15220,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       2778310,$        169327,$Clifton CDP,$S,$!,$      541,$      250,$+34.9860514,$-081.8203954,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02629821,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4516360,"Converse CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242308,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$16360,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       1787578,$         28558,$Converse CDP,$S,$!,$      608,$      286,$+34.9956650,$-081.8430594,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02629822,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4517260,"Cowpens town, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242348,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$17260,$C1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       6106577,$             0,$Cowpens town,$A,$!,$     2162,$      967,$+35.0188328,$-081.8042734,$43,$ ,$      ,$     ,$01779799,$        ,$        ,$02406330,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4517845,"Cross Anchor CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242353,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$17845,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       2003927,$         10209,$Cross Anchor CDP,$S,$!,$      126,$       72,$+34.6442407,$-081.8580334,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02629823,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4521265,"Duncan town, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242405,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$21265,$C1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$      12106229,$        267440,$Duncan town,$A,$!,$     3181,$     1401,$+34.9374737,$-082.1409641,$43,$ ,$      ,$     ,$01779799,$        ,$        ,$02406404,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
